# Ancillary slug source — Phase 2 volume push.
# Format: {ats}:{slug} per line. Merged into cold tier by slug_loader.
# Regenerate: python -m backend.scripts.pull_simplify_slugs

# --- SimplifyJobs pull (279 new slugs) ---
greenhouse:10beauty  # 10Beauty
greenhouse:60decibelsinc  # 60decibelsinc
greenhouse:9thwayinsignia  # 9th Way Insignia
greenhouse:abelsontaylor  # AbelsonTaylor
greenhouse:adelphirealworld  # Adelphi Real World
greenhouse:agilespaceindustries  # AGILE Space Industries
greenhouse:aircapture  # AirCapture
greenhouse:alphataraxia  # Alphataraxia
greenhouse:altaresourcetechnologiesinc  # Alta Resource Technologies
greenhouse:ampsortation  # Amp Robotics
greenhouse:aperiatechnologies  # Aperia Technologies
greenhouse:applytotruebuilt  # TrueBuilt
greenhouse:arenaclub  # Arena Club
greenhouse:argmax  # Argmax
greenhouse:arvinas  # Arvinas
greenhouse:atlassand  # Atlas Energy Solutions
greenhouse:attentionarc  # Attention Arc
greenhouse:avepoint  # AvePoint
greenhouse:awetomaton  # Awetomaton
greenhouse:axiscompany  # Axis Automation
greenhouse:axuall  # Axuall
greenhouse:babelstreet  # Babel Street
greenhouse:baltimoreorioles  # Major League Baseball
greenhouse:bloombergdotorg  # Bloomberg Philanthropies
greenhouse:bluelabsanalyticsinc  # BlueLabs Analytics
greenhouse:bluestaq  # Bluestaq
greenhouse:brevium  # Brevium
greenhouse:businessolverinvitationonly  # Businessolver
greenhouse:capitaltg  # Capital Technology Group
greenhouse:cellsignalingtechnology79  # Cell Signaling Technology
greenhouse:clockworksystems  # Clockwork Systems
greenhouse:cmt  # Cambridge Mobile Telematics
greenhouse:cognitiv  # Cognitiv
greenhouse:connectder  # ConnectDER
greenhouse:connerstrongbuckelew  # Conner Strong & Buckelew
greenhouse:constellationsoftwareinc  # Constellation
greenhouse:corcepttherapeutics  # Corcept Therapeutics
greenhouse:correlationone  # Correlation One
greenhouse:creatorsworkhere  # Adorama
greenhouse:creditunionofcolorado  # Credit Union of Colorado
greenhouse:customcomputerspecialists  # Custom Computer Specialists
greenhouse:designmehair  # DESIGNME Hair
greenhouse:didi  # DiDi Global
greenhouse:docugami  # Docugami
greenhouse:doublegood  # Double Good
greenhouse:drwuniversityjobs  # DRW
greenhouse:edgewoodpartnersinsurancecenter  # EPIC Insurance Brokers & Consultants
greenhouse:efficientcomputer  # Efficient Computer
greenhouse:eikontherapeutics  # Eikon Therapeutics
greenhouse:elevationscreditunion  # Elevations Credit Union
greenhouse:elwoodtechnologies  # Elwood Technologies
greenhouse:embed  # Jump Trading
greenhouse:eulerity  # Eulerity
greenhouse:everdriven  # EverDriven
greenhouse:everlaw  # Everlaw
greenhouse:flexport  # Flexport
greenhouse:forerunner  # Forerunner
greenhouse:forteracorporation  # Fortera
greenhouse:foundenergy  # Found Energy
greenhouse:freedomconsulting  # Freedom Technology Solutions Group
greenhouse:fsastorecom  # Health-E Commerce
greenhouse:fspco-op012325  # Flagship Pioneering
greenhouse:ftandinternships  # Stevens Capital Management
greenhouse:gaintheory  # Gain Theory
greenhouse:gcmgrosvenor  # GCM Grosvenor
greenhouse:genies  # Genies
greenhouse:gipathfinder  # GIPathfinder
greenhouse:grassrootsanalytics  # Grassroots Analytics
greenhouse:growthloop  # GrowthLoop
greenhouse:gsdm  # GSD&M
greenhouse:haven  # Haven Studios
greenhouse:headlandstechnologiesllc  # Headlands Tech Holdings
greenhouse:hellbenderinc  # HELLBENDER
greenhouse:hiddenlayer  # HiddenLayer
greenhouse:homesolutions  # Home Solutions
greenhouse:horizonindustrieslimited  # Horizon Industries
greenhouse:horizonsurgicalsystems  # Horizon Surgical Systems
greenhouse:idmeuniversityrecruiting  # ID.me
greenhouse:ieqcapital  # IEQ Capital
greenhouse:immersive  # CGS Immersive
greenhouse:instalilyai  # InstaLILY
greenhouse:integrainterns  # Integra FEC
greenhouse:interwellhealth  # Interwell Health
greenhouse:jencapinc  # Jencap
greenhouse:johnsonlawgroup  # Johnson Law Group
greenhouse:klaviyojobs  # Klaviyo
greenhouse:landscapeforms  # Landscape Forms
greenhouse:lexingtonmedical  # Lexington Medical
greenhouse:lottebiologicsusallc  # LOTTE BIOLOGICS
greenhouse:mara  # MARA
greenhouse:mcmastercarr  # McMaster-Carr
greenhouse:millenniumspacesystems  # Millennium Space Systems
greenhouse:modernizingmedicineinc  # Modernizing Medicine
greenhouse:momentus  # Momentus Space
greenhouse:morsecorp  # MORSE Corp
greenhouse:morsecorpcoop  # Meridian Partners
greenhouse:mwam-imperial-placements  # Marshall Wace
greenhouse:newtonresearch  # Newton Research
greenhouse:oceanx  # OceanX
greenhouse:optirtc  # OptiRTC
greenhouse:otrcapital1  # OTR Solutions
greenhouse:pendartechnologies  # Pendar Technologies
greenhouse:personalisinc  # Personalis
greenhouse:piaggiofastforward  # Piaggio Fast Forward
greenhouse:pinwheelapi  # Pinwheel
greenhouse:practisinglawinstitute  # Practising Law Institute
greenhouse:premierautomation  # Premier Automation
greenhouse:proconex  # Proconex
greenhouse:qualifiedhealth  # Qualified Health
greenhouse:queracomputinginc  # QuEra Computing
greenhouse:rab  # RAB Lighting
greenhouse:racapitalmanagementllc  # RA Capital Management
greenhouse:redis  # Redis
greenhouse:resonate  # Resonate
greenhouse:riotgamesup  # Riot Games
greenhouse:rocketems  # Rocket EMS
greenhouse:rocketlawyer  # Rocket Lawyer
